hour_close_utc,seconds_in_entry_window,geometry_seconds_width_100_300,geometry_seconds_midpoint_ok,geometry_seconds_full_guardrails,had_any_full_guardrails,best_entry_cost_cents,best_entry_width_usd,best_entry_direction,best_entry_spot,chunk
2026-04-05T17:00:00Z,901,42,0,0,False,,,,,chunk_169_252
2026-04-05T18:00:00Z,901,0,0,0,False,,,,,chunk_169_252
2026-04-05T19:00:00Z,901,122,0,0,False,,,,,chunk_169_252
2026-04-05T20:00:00Z,901,0,0,0,False,,,,,chunk_169_252
2026-04-05T21:00:00Z,901,0,0,0,False,,,,,chunk_169_252
2026-04-05T22:00:00Z,901,65,0,0,False,,,,,chunk_169_252
2026-04-05T23:00:00Z,901,744,367,0,False,,,,,chunk_169_252
2026-04-06T00:00:00Z,901,810,471,0,False,,,,,chunk_169_252
2026-04-06T01:00:00Z,901,352,132,0,False,,,,,chunk_169_252
2026-04-06T02:00:00Z,901,0,0,0,False,,,,,chunk_169_252
2026-04-06T03:00:00Z,901,332,35,0,False,,,,,chunk_169_252
2026-04-06T04:00:00Z,901,0,0,0,False,,,,,chunk_169_252
2026-04-06T05:00:00Z,901,435,0,0,False,,,,,chunk_169_252
2026-04-06T06:00:00Z,901,0,0,0,False,,,,,chunk_169_252
2026-04-06T07:00:00Z,901,224,0,0,False,,,,,chunk_169_252
2026-04-06T08:00:00Z,901,516,0,0,False,,,,,chunk_169_252
2026-04-06T09:00:00Z,901,613,0,0,False,,,,,chunk_169_252
2026-04-06T10:00:00Z,901,314,207,0,False,,,,,chunk_169_252
2026-04-06T11:00:00Z,901,0,0,0,False,,,,,chunk_169_252
2026-04-06T12:00:00Z,901,0,0,0,False,,,,,chunk_169_252
2026-04-06T13:00:00Z,901,0,0,0,False,,,,,chunk_169_252
2026-04-06T14:00:00Z,901,696,0,0,False,,,,,chunk_169_252
2026-04-06T15:00:00Z,901,546,2,0,False,,,,,chunk_169_252
2026-04-06T16:00:00Z,901,841,572,0,False,,,,,chunk_169_252
